iata,longitude,latitude,iso,name,continent,type,size,timezone,icao,city,country,city,country
GKA,145.39293,-6.075244,PG,Goroka,OC,airport,medium,10,AYGA,Goroka,Papua New Guinea,Loading...,Papua-Neuguinea
MAG,145.78784,-5.210852,PG,Madang,OC,airport,medium,10,AYMD,Madang,Papua New Guinea,Madang,Papua-Neuguinea
HGU,144.29738,-5.828767,PG,Mount Hagen,OC,airport,medium,10,AYMH,Mount Hagen,Papua New Guinea,Mount Hagen,Papua-Neuguinea
LAE,146.72757,-6.562694,PG,Nadzab,OC,airport,medium,10,AYNZ,Nadzab,Papua New Guinea,Nadzab,Papua-Neuguinea
POM,147.21446,-9.444308,PG,Port Moresby Jacksons Intl,OC,airport,large,10,AYPY,Port Moresby,Papua New Guinea,Port Moresby,Papua-Neuguinea
WWK,143.66916,-3.580034,PG,Wewak Intl,OC,airport,medium,10,AYWK,Wewak,Papua New Guinea,Wewak,Papua-Neuguinea
UAK,-45.316666,61.166668,GL,Narsarsuaq,NA,airport,medium,-3,BGBW,Narssarssuaq,Greenland,Narssarssuaq,Grönland
GOH,-51.725,64.181946,GL,Nuuk,NA,airport,medium,-3,BGGH,Godthaab,Greenland,Godthaab,Grönland
SFJ,-50.719723,67.01222,GL,Sondre Stromfjord,NA,airport,medium,-3,BGSF,Sondrestrom,Greenland,Sondrestrom,Grönland
THU,-68.7,76.53333,GL,Thule Air Base,NA,airport,medium,-4,BGTL,Thule,Greenland,Thule,Grönland
AEY,-18.075068,65.654564,IS,Akureyri,EU,airport,medium,0,BIAR,Akureyri,Iceland,Akureyri,Island
EGS,-14.402778,65.27778,IS,Egilsstadir,EU,airport,medium,0,BIEG,Egilsstadir,Iceland,Egilsstadir,Island
HFN,-15.266667,64.28333,IS,Hornafjordur,EU,airport,medium,0,BIHN,Hofn,Iceland,Hofn,Island
HZK,-17.427778,65.95528,IS,Husavik,EU,airport,medium,0,BIHU,Husavik,Iceland,Husavik,Island
IFJ,-23.132778,66.05972,IS,Isafjordur,EU,airport,medium,0,BIIS,Isafjordur,Iceland,Isafjördur,Island
KEF,-22.624283,63.997765,IS,Keflavik International Airport,EU,airport,large,0,BIKF,Keflavik,Iceland,Keflavik,Island
PFJ,-19.008333,65.03333,IS,Patreksfjordur,EU,airport,medium,0,BIPA,Patreksfjordur,Iceland,Patreksfjordur,Island
SIJ,-18.933332,66.166664,IS,Siglufjordur,EU,airport,medium,0,BISI,Siglufjordur,Iceland,Siglufjordur,Island
VEY,-20.277779,63.426388,IS,Vestmannaeyjar,EU,airport,medium,0,BIVM,Vestmannaeyjar,Iceland,Vestmannaeyjar,Island
YAM,-84.49995,46.485302,CA,Sault Ste Marie,NA,airport,medium,-5,CYAM,Sault Sainte Marie,Canada,Sault Sainte Marie,Kanada
YAV,-123.3,48.86667,CA,Winnipeg St Andrews,NA,airport,medium,-6,CYAV,Winnipeg,Canada,Winnipeg,Kanada
YAW,,,CA,Shearwater,NA,heliport,null,-4,CYAW,Halifax,Canada,Halifax,Kanada
YAY,-55.583332,51.36667,CA,St Anthony,NA,airport,medium,-4,CYAY,St. Anthony,Canada,St. Anthony,Kanada
YAZ,-125.77639,49.076942,CA,Tofino,NA,airport,medium,-8,CYAZ,Tofino,Canada,Tofino,Kanada
YBB,-89.85,68.88333,CA,Kugaaruk,NA,airport,medium,-6,CYBB,Pelly Bay,Canada,Pelly Bay,Kanada
YBC,-68.26667,49.2,CA,Baie Comeau,NA,airport,medium,-5,CYBC,Baie Comeau,Canada,Baie Comeau,Kanada
YBG,-70.98861,48.322224,CA,Bagotville,NA,airport,medium,-5,CYBG,Bagotville,Canada,Bagotville,Kanada
YBK,-96.083336,64.3,CA,Baker Lake,NA,airport,medium,-6,CYBK,Baker Lake,Canada,Baker Lake,Kanada
YBL,-125.26813,49.951725,CA,Campbell River,NA,airport,medium,-8,CYBL,Campbell River,Canada,Campbell River,Kanada
YBR,-99.94677,49.908688,CA,Brandon Muni,NA,airport,medium,-6,CYBR,Brandon,Canada,Brandon,Kanada
YCB,-105.13333,69.1,CA,Cambridge Bay,NA,airport,medium,-7,CYCB,Cambridge Bay,Canada,Cambridge Bay,Kanada
YCD,-123.86667,49.05,CA,Nanaimo,NA,airport,medium,-8,CYCD,Nanaimo,Canada,Nanaimo,Kanada
YCG,-117.632225,49.295555,CA,Castlegar,NA,airport,medium,-8,CYCG,Castlegar,Canada,Castlegar,Kanada
YCH,-65.44744,47.014008,CA,Miramichi,NA,airport,medium,-4,CYCH,Chatham,Canada,Chatham,Kanada
YCL,-66.32881,47.99093,CA,Charlo,NA,airport,medium,-4,CYCL,Charlo,Canada,Charlo,Kanada
YCO,-115.083336,67.833336,CA,Kugluktuk,NA,airport,medium,-7,CYCO,Coppermine,Canada,Coppermine,Kanada
YCY,-68.5,70.416664,CA,Clyde River,NA,airport,medium,-5,CYCY,Clyde River,Canada,Clyde River,Kanada
YZS,-83.36667,64.2,CA,Fairmont Hot Springs,NA,airport,medium,-7,CYCZ,Coral Harbour,Canada,Coral Harbour,Kanada
YDA,-139.12083,64.041664,CA,Dawson City,NA,airport,medium,-8,CYDA,Dawson,Canada,Dawson,Kanada
