"iata","lon","lat","iso","name","continent","type","size","timezone","icao","city","country"
"369","169.86667","11.233333","MH","Atmautluak Airport","OC","airport","small","-10","\\N","Atmautluak","United States"
"GKA","169.86667","11.233333","MH","Goroka","OC","airport","small","10","AYGA","Goroka","Papua New Guinea"
"MAG","169.86667","11.233333","MH","Madang","OC","airport","small","10","AYMD","Madang","Papua New Guinea"
"HGU","169.86667","11.233333","MH","Mount Hagen","OC","airport","small","10","AYMH","Mount Hagen","Papua New Guinea"
"LAE","169.86667","11.233333","MH","Nadzab","OC","airport","small","10","AYNZ","Nadzab","Papua New Guinea"
"POM","169.86667","11.233333","MH","Port Moresby Jacksons Intl","OC","airport","small","10","AYPY","Port Moresby","Papua New Guinea"
"WWK","169.86667","11.233333","MH","Wewak Intl","OC","airport","small","10","AYWK","Wewak","Papua New Guinea"
"UAK","169.86667","11.233333","MH","Narsarsuaq","OC","airport","small","-3","BGBW","Narssarssuaq","Greenland"
"GOH","169.86667","11.233333","MH","Nuuk","OC","airport","small","-3","BGGH","Godthaab","Greenland"
"SFJ","169.86667","11.233333","MH","Sondre Stromfjord","OC","airport","small","-3","BGSF","Sondrestrom","Greenland"
"THU","169.86667","11.233333","MH","Thule Air Base","OC","airport","small","-4","BGTL","Thule","Greenland"
"AEY","169.86667","11.233333","MH","Akureyri","OC","airport","small","0","BIAR","Akureyri","Iceland"
"EGS","169.86667","11.233333","MH","Egilsstadir","OC","airport","small","0","BIEG","Egilsstadir","Iceland"
"HFN","169.86667","11.233333","MH","Hornafjordur","OC","airport","small","0","BIHN","Hofn","Iceland"
"HZK","169.86667","11.233333","MH","Husavik","OC","airport","small","0","BIHU","Husavik","Iceland"
"IFJ","169.86667","11.233333","MH","Isafjordur","OC","airport","small","0","BIIS","Isafjordur","Iceland"
"KEF","169.86667","11.233333","MH","Keflavik International Airport","OC","airport","small","0","BIKF","Keflavik","Iceland"
"PFJ","169.86667","11.233333","MH","Patreksfjordur","OC","airport","small","0","BIPA","Patreksfjordur","Iceland"
"RKV","169.86667","11.233333","MH","Reykjavik","OC","airport","small","0","BIRK","Reykjavik","Iceland"
"SIJ","169.86667","11.233333","MH","Siglufjordur","OC","airport","small","0","BISI","Siglufjordur","Iceland"
