iata,longitude,latitude,iso,name,continent,type,size,timezone,icao,city,country
GKA,145.39293,-6.075244,PG,Goroka,OC,airport,medium,10,AYGA,Goroka,Papúa Nueva Guinea
MAG,145.78784,-5.210852,PG,Madang,OC,airport,medium,10,AYMD,Madang,Papúa Nueva Guinea
HGU,144.29738,-5.828767,PG,Mount Hagen,OC,airport,medium,10,AYMH,Mount Hagen,Papúa Nueva Guinea
LAE,146.72757,-6.562694,PG,Nadzab,OC,airport,medium,10,AYNZ,Nadzab,Papúa Nueva Guinea
POM,147.21446,-9.444308,PG,Port Moresby Jacksons Intl,OC,airport,large,10,AYPY,Port Moresby,Papúa Nueva Guinea
WWK,143.66916,-3.580034,PG,Wewak Intl,OC,airport,medium,10,AYWK,Wewak,Papúa Nueva Guinea
UAK,-45.316666,61.166668,GL,Narsarsuaq,NA,airport,medium,-3,BGBW,Narssarssuaq,Groenlandia
GOH,-51.725,64.181946,GL,Nuuk,NA,airport,medium,-3,BGGH,Godthaab,Groenlandia
SFJ,-50.719723,67.01222,GL,Sondre Stromfjord,NA,airport,medium,-3,BGSF,Sondrestrom,Groenlandia
THU,-68.7,76.53333,GL,Thule Air Base,NA,airport,medium,-4,BGTL,Thule,Groenlandia
AEY,-18.075068,65.654564,IS,Akureyri,EU,airport,medium,0,BIAR,Akureyri,Islandia
EGS,-14.402778,65.27778,IS,Egilsstadir,EU,airport,medium,0,BIEG,Egilsstadir,Islandia
HFN,-15.266667,64.28333,IS,Hornafjordur,EU,airport,medium,0,BIHN,Hofn,Islandia
HZK,-17.427778,65.95528,IS,Husavik,EU,airport,medium,0,BIHU,Husavik,Islandia
IFJ,-23.132778,66.05972,IS,Isafjordur,EU,airport,medium,0,BIIS,Isafjordur,Islandia
KEF,-22.624283,63.997765,IS,Keflavik International Airport,EU,airport,large,0,BIKF,Keflavik,Islandia
PFJ,-19.008333,65.03333,IS,Patreksfjordur,EU,airport,medium,0,BIPA,Patreksfjordur,Islandia
SIJ,-18.933332,66.166664,IS,Siglufjordur,EU,airport,medium,0,BISI,Siglufjordur,Islandia
VEY,-20.277779,63.426388,IS,Vestmannaeyjar,EU,airport,medium,0,BIVM,Vestmannaeyjar,Islandia
YAM,-84.49995,46.485302,CA,Sault Ste Marie,NA,airport,medium,-5,CYAM,Sault Sainte Marie,Canadá
YAV,-123.3,48.86667,CA,Winnipeg St Andrews,NA,airport,medium,-6,CYAV,Winnipeg,Canadá
YAW,-63.499444,44.639721,CA,Shearwater,NA,heliport,null,-4,CYAW,Halifax,Canadá
YAY,-55.583332,51.36667,CA,St Anthony,NA,airport,medium,-4,CYAY,San Antonio,Canadá
YAZ,-125.77639,49.076942,CA,Tofino,NA,airport,medium,-8,CYAZ,Tofino,Canadá
YBB,-89.85,68.88333,CA,Kugaaruk,NA,airport,medium,-6,CYBB,Pelly Bay,Canadá
YBC,-68.26667,49.2,CA,Baie Comeau,NA,airport,medium,-5,CYBC,Baie Comeau,Canadá
YBG,-70.98861,48.322224,CA,Bagotville,NA,airport,medium,-5,CYBG,Bagotville,Canadá
YBK,-96.083336,64.3,CA,Baker Lake,NA,airport,medium,-6,CYBK,Baker Lake,Canadá
YBL,-125.26813,49.951725,CA,Campbell River,NA,airport,medium,-8,CYBL,Campbell River,Canadá
YBR,-99.94677,49.908688,CA,Brandon Muni,NA,airport,medium,-6,CYBR,Brandon,Canadá
YCB,-105.13333,69.1,CA,Cambridge Bay,NA,airport,medium,-7,CYCB,Cambridge Bay,Canadá
YCD,-123.86667,49.05,CA,Nanaimo,NA,airport,medium,-8,CYCD,Nanaimo,Canadá
YCG,-117.632225,49.295555,CA,Castlegar,NA,airport,medium,-8,CYCG,Castlegar,Canadá
YCH,-65.44744,47.014008,CA,Miramichi,NA,airport,medium,-4,CYCH,Chatham,Canadá
YCL,-66.32881,47.99093,CA,Charlo,NA,airport,medium,-4,CYCL,Charlo,Canadá
YCO,-115.083336,67.833336,CA,Kugluktuk,NA,airport,medium,-7,CYCO,Coppermine,Canadá
YCY,-68.5,70.416664,CA,Clyde River,NA,airport,medium,-5,CYCY,Río Clyde,Canadá
YZS,-83.36667,64.2,CA,Fairmont Hot Springs,NA,airport,medium,-7,CYCZ,Coral Harbour,Canadá
YDA,-139.12083,64.041664,CA,Dawson City,NA,airport,medium,-8,CYDA,Dawson,Canadá
YDB,-139.01666,61.35,CA,Burwash,NA,airport,medium,-8,CYDB,Burwash,Canadá
YDF,-57.399727,49.21027,CA,Deer Lake,NA,airport,medium,-4,CYDF,Deer Lake,Canadá
YDN,-100.05,51.1,CA,Dauphin Barker,NA,airport,medium,-6,CYDN,Delfín,Canadá
YDQ,-120.183334,55.733334,CA,Dawson Creek,NA,airport,medium,-7,CYDQ,Dawson Creek,Canadá
YEG,-113.584045,53.307377,CA,Edmonton Intl,NA,airport,large,-7,CYEG,Edmonton,Canadá
YEK,-94.05,61.11667,CA,Arviat,NA,airport,medium,-6,CYEK,Eskimo Point,Canadá
YEN,-102.96282,49.207542,CA,Estevan,NA,airport,medium,-6,CYEN,Estevan,Canadá
YET,-116.46667,53.583332,CA,Edson,NA,airport,medium,-7,CYET,Edson,Canadá
YEU,-85.933334,80,CA,Eureka,NA,airport,small,-6,CYEU,Eureka,Canadá
YEV,-133.49767,68.30665,CA,Inuvik Mike Zubko,NA,airport,medium,-7,CYEV,Inuvik,Canadá
