iata,longitude,latitude,iso,name,continent,type,size,timezone,icao,city,country
GKA,145.39293,-6.075244,PG,Goroka,OC,airport,medium,10,AYGA,Goroka,Papouasie-Nouvelle-Guinée
MAG,145.78784,-5.210852,PG,Madang,OC,airport,medium,10,AYMD,Madang,Papouasie-Nouvelle-Guinée
HGU,144.29738,-5.828767,PG,Mount Hagen,OC,airport,medium,10,AYMH,Mount Hagen,Papouasie-Nouvelle-Guinée
LAE,146.72757,-6.562694,PG,Nadzab,OC,airport,medium,10,AYNZ,Nadzab,Papouasie-Nouvelle-Guinée
POM,147.21446,-9.444308,PG,Port Moresby Jacksons Intl,OC,airport,large,10,AYPY,Port Moresby,Papouasie-Nouvelle-Guinée
WWK,143.66916,-3.580034,PG,Wewak Intl,OC,airport,medium,10,AYWK,Wewak,Papouasie-Nouvelle-Guinée
UAK,-45.316666,61.166668,GL,Narsarsuaq,NA,airport,medium,-3,BGBW,Narssarssuaq,Groenland
GOH,-51.725,64.181946,GL,Nuuk,NA,airport,medium,-3,BGGH,Godthaab,Groenland
SFJ,-50.719723,67.01222,GL,Sondre Stromfjord,NA,airport,medium,-3,BGSF,Sondrestrom,Groenland
THU,-68.7,76.53333,GL,Thule Air Base,NA,airport,medium,-4,BGTL,Thule,Groenland
AEY,-18.075068,65.654564,IS,Akureyri,EU,airport,medium,0,BIAR,Akureyri,Islande
EGS,-14.402778,65.27778,IS,Egilsstadir,EU,airport,medium,0,BIEG,Egilsstadir,Islande
HFN,-15.266667,64.28333,IS,Hornafjordur,EU,airport,medium,0,BIHN,Hofn,Islande
HZK,-17.427778,65.95528,IS,Husavik,EU,airport,medium,0,BIHU,Husavik,Islande
IFJ,-23.132778,66.05972,IS,Isafjordur,EU,airport,medium,0,BIIS,Isafjordur,Islande
KEF,-22.624283,63.997765,IS,Keflavik International Airport,EU,airport,large,0,BIKF,Keflavik,Islande
PFJ,-19.008333,65.03333,IS,Patreksfjordur,EU,airport,medium,0,BIPA,Patreksfjordur,Islande
SIJ,-18.933332,66.166664,IS,Siglufjordur,EU,airport,medium,0,BISI,Siglufjordur,Islande
VEY,-20.277779,63.426388,IS,Vestmannaeyjar,EU,airport,medium,0,BIVM,Vestmannaeyjar,Islande
YAM,-84.49995,46.485302,CA,Sault Ste Marie,NA,airport,medium,-5,CYAM,Sault Sainte Marie,Canada
YAV,-123.3,48.86667,CA,Winnipeg St Andrews,NA,airport,medium,-6,CYAV,Winnipeg,Canada
YAW,,,CA,Shearwater,NA,heliport,null,-4,CYAW,Halifax,Canada
YAY,-55.583332,51.36667,CA,St Anthony,NA,airport,medium,-4,CYAY,St. Anthony,Canada
YAZ,-125.77639,49.076942,CA,Tofino,NA,airport,medium,-8,CYAZ,Tofino,Canada
YBB,-89.85,68.88333,CA,Kugaaruk,NA,airport,medium,-6,CYBB,Pelly Bay,Canada
YBC,-68.26667,49.2,CA,Baie Comeau,NA,airport,medium,-5,CYBC,Baie Comeau,Canada
YBG,-70.98861,48.322224,CA,Bagotville,NA,airport,medium,-5,CYBG,Bagotville,Canada
YBK,-96.083336,64.3,CA,Baker Lake,NA,airport,medium,-6,CYBK,Baker Lake,Canada
